Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Acumulado anual
2015;0,76;0,27;0,98;1,17;0,41;0,67;0,69;0,28;0,95;1,89;1,52;0,49;10,54
2014;0,48;0,38;1,67;0,78;-0,13;-0,74;-0,61;-0,27;0,2;0,28;0,98;0,62;2,66
2013;0,34;0,29;0,21;0,15;0;0,75;0,26;0,15;1,5;0,86;0,29;0,6;5,53
2012;0,25;-0,06;0,43;0,85;1,02;0,66;1,34;1,43;0,97;0,02;-0,03;0,68;7,81
2011;0,79;1;0,62;0,45;0,43;-0,18;-0,12;0,44;0,65;0,53;0,5;-0,12;5,1
2010;0,63;1,18;0,94;0,77;1,19;0,85;0,15;0,77;1,15;1,01;1,45;0,69;11,32
2009;-0,44;0,26;-0,74;-0,15;-0,07;-0,1;-0,43;-0,36;0,42;0,05;0,1;-0,26;-1,71
2008;1,09;0,53;0,74;0,69;1,61;1,98;1,76;-0,32;0,11;0,98;0,38;-0,13;9,81
2007;0,5;0,27;0,34;0,04;0,04;0,26;0,28;0,98;1,29;1,05;0,69;1,76;7,75
2006;0,92;0,01;-0,23;-0,42;0,38;0,75;0,18;0,37;0,29;0,47;0,75;0,32;3,85
2005;0,39;0,3;0,85;0,86;-0,22;-0,44;-0,34;-0,65;-0,53;0,6;0,4;-0,01;1,2
2004;0,88;0,69;1,13;1,21;1,31;1,38;1,31;1,22;0,69;0,39;0,82;0,74;12,42
2003;2,33;2,28;1,53;0,92;-0,26;-1;-0,42;0,38;1,18;0,38;0,49;0,61;8,69
2002;0,36;0,06;0,09;0,56;0,83;1,54;1,95;2,32;2,4;3,87;5,19;3,75;25,3
2001;0,62;0,23;0,56;1;0,86;0,98;1,48;1,38;0,31;1,18;1,1;0,22;10,37
2000;1,24;0,35;0,15;0,23;0,31;0,85;1,57;2,39;1,16;0,38;0,29;0,63;9,95
1999;0,84;3,61;2,83;0,71;-0,29;0,36;1,55;1,56;1,45;1,7;2,39;1,81;20,1
1998;0,96;0,18;0,19;0,13;0,14;0,38;-0,17;-0,16;-0,08;0,08;-0,32;0,45;1,79
1997;1,77;0,43;1,15;0,68;0,21;0,74;0,09;0,09;0,48;0,37;0,64;0,84;7,74
1996;1,73;0,97;0,4;0,32;1,55;1,02;1,35;0,28;0,1;0,19;0,2;0,73;9,19
1995;0,92;1,39;1,12;2,1;0,58;2,46;1,82;2,2;-0,71;0,52;1,2;0,71;15,24
1994;39,07;40,78;45,71;40,91;42,58;45,21;4,33;3,94;1,75;1,82;2,85;0,84;869,74
1993;25,83;28,41;26,25;28,83;29,7;31,5;31,25;31,79;35,28;35,04;36,15;38,32;2567,34
1992;23,56;27,86;21,39;19,94;20,43;23,61;21,84;24,63;25,27;26,76;23,43;25,08;1174,67
1991;17,7;21,02;9,19;7,81;7,48;8,48;13,22;15,25;14,93;22,63;25,62;23,63;458,38
1990;61,46;81,29;83,95;28,35;5,93;9,94;12,01;13,62;12,8;12,97;16,86;18;1699,87
1989;-;-;-;-;-;19,68;35,9;36,92;39,92;40,64;40,48;47,13;805,76
